meal_time,spicy,diet,gluten_free,dairy_free,cuisine,budget,prep_time,protein_pref,health_goal,label_meal
breakfast,medium,vegetarian,yes,yes,mexican,high,quick,high,maintain,Beef Burrito
breakfast,medium,vegetarian,no,no,asian,low,long,high,maintain,Margherita Pizza
breakfast,high,vegetarian,yes,no,american,medium,long,medium,lose,Beef Burrito
breakfast,medium,vegetarian,no,no,middle_eastern,low,medium,high,lose,Margherita Pizza
dinner,low,none,yes,yes,mediterranean,medium,quick,low,maintain,Margherita Pizza
dinner,low,none,no,yes,mediterranean,medium,quick,medium,lose,Vegan Buddha Bowl
lunch,high,none,yes,yes,mediterranean,medium,long,low,lose,Spicy Chicken Bowl
lunch,medium,vegan,yes,yes,mexican,medium,medium,high,gain,Beef Burrito
dinner,medium,none,yes,yes,mediterranean,high,quick,medium,maintain,Beef Burrito
lunch,high,vegan,yes,no,middle_eastern,medium,quick,medium,lose,Vegan Buddha Bowl
snack,medium,keto,no,no,middle_eastern,low,long,high,maintain,Keto Salmon Salad
lunch,high,keto,yes,yes,mediterranean,low,quick,medium,gain,Keto Salmon Salad
lunch,low,vegetarian,yes,no,mexican,high,medium,medium,maintain,Beef Burrito
snack,low,none,yes,yes,asian,low,long,high,lose,Spicy Chicken Bowl
breakfast,high,vegan,no,no,asian,medium,quick,medium,gain,Vegan Buddha Bowl
dinner,high,keto,yes,yes,mediterranean,medium,medium,low,lose,Keto Salmon Salad
lunch,high,keto,no,no,mediterranean,low,medium,medium,gain,Margherita Pizza
breakfast,low,vegan,no,yes,mexican,high,quick,high,lose,Vegan Buddha Bowl
breakfast,medium,keto,no,no,middle_eastern,medium,long,high,lose,Keto Salmon Salad
lunch,low,keto,yes,yes,middle_eastern,low,long,medium,maintain,Keto Salmon Salad
lunch,low,vegan,no,no,american,medium,long,medium,lose,Vegan Buddha Bowl
lunch,low,vegetarian,no,no,asian,low,quick,low,lose,Margherita Pizza
dinner,medium,keto,yes,no,middle_eastern,high,quick,high,maintain,Keto Salmon Salad
dinner,medium,none,yes,no,mexican,low,long,high,maintain,Beef Burrito
dinner,high,vegetarian,yes,no,mediterranean,medium,long,high,maintain,Margherita Pizza
dinner,low,vegan,no,no,asian,high,medium,low,maintain,Vegan Buddha Bowl
snack,low,none,no,no,middle_eastern,medium,quick,low,lose,Margherita Pizza
breakfast,high,keto,yes,yes,asian,high,long,medium,maintain,Spicy Chicken Bowl
snack,low,none,no,yes,american,medium,quick,low,lose,Vegan Buddha Bowl
breakfast,medium,vegan,no,no,asian,low,medium,high,maintain,Vegan Buddha Bowl
dinner,high,vegan,no,no,middle_eastern,high,medium,high,maintain,Spicy Chicken Bowl
dinner,low,none,no,no,asian,low,medium,high,lose,Spicy Chicken Bowl
dinner,high,keto,yes,yes,mexican,low,long,medium,lose,Beef Burrito
lunch,low,vegan,no,yes,mediterranean,high,long,low,gain,Vegan Buddha Bowl
breakfast,medium,vegan,yes,no,mexican,high,long,low,maintain,Beef Burrito
dinner,medium,vegan,no,no,middle_eastern,low,quick,low,lose,Vegan Buddha Bowl
breakfast,low,vegetarian,yes,no,asian,medium,medium,medium,lose,Margherita Pizza
snack,high,vegan,yes,no,mexican,high,long,low,maintain,Beef Burrito
lunch,low,vegetarian,yes,no,middle_eastern,high,long,low,maintain,Margherita Pizza
breakfast,medium,vegetarian,yes,no,asian,low,quick,high,gain,Margherita Pizza
breakfast,low,vegan,yes,yes,american,low,long,medium,gain,Vegan Buddha Bowl
snack,low,keto,no,no,mexican,low,medium,low,gain,Margherita Pizza
dinner,medium,none,yes,no,middle_eastern,low,medium,high,lose,Beef Burrito
lunch,high,vegan,no,yes,middle_eastern,medium,medium,high,maintain,Vegan Buddha Bowl
snack,low,keto,yes,yes,mediterranean,low,long,high,maintain,Keto Salmon Salad
dinner,high,vegetarian,yes,yes,american,high,medium,high,gain,Spicy Chicken Bowl
dinner,high,none,yes,yes,mexican,low,quick,medium,lose,Beef Burrito
dinner,high,vegetarian,no,no,asian,high,quick,low,lose,Spicy Chicken Bowl
dinner,low,keto,yes,no,american,low,long,low,gain,Keto Salmon Salad
snack,low,vegetarian,no,yes,mexican,medium,medium,low,lose,Beef Burrito
snack,medium,keto,no,no,middle_eastern,low,quick,high,gain,Keto Salmon Salad
snack,low,none,yes,yes,middle_eastern,low,quick,low,maintain,Margherita Pizza
dinner,low,vegetarian,yes,no,mexican,low,long,low,maintain,Margherita Pizza
lunch,low,none,yes,yes,american,low,quick,medium,maintain,Margherita Pizza
snack,medium,vegan,yes,no,middle_eastern,low,quick,low,lose,Vegan Buddha Bowl
lunch,medium,none,no,no,american,high,quick,high,maintain,Margherita Pizza
breakfast,low,keto,yes,yes,mexican,medium,long,low,maintain,Keto Salmon Salad
dinner,low,none,no,yes,mexican,high,long,high,gain,Beef Burrito
dinner,high,vegetarian,yes,no,middle_eastern,low,long,high,maintain,Margherita Pizza
breakfast,high,vegetarian,no,no,mexican,medium,quick,high,maintain,Beef Burrito
breakfast,high,vegetarian,yes,yes,mexican,high,medium,high,gain,Beef Burrito
lunch,medium,vegetarian,yes,yes,mediterranean,low,medium,medium,gain,Margherita Pizza
dinner,medium,vegetarian,yes,no,middle_eastern,high,long,medium,gain,Beef Burrito
lunch,low,vegetarian,yes,no,asian,high,long,low,lose,Margherita Pizza
snack,low,vegan,no,yes,asian,low,quick,low,gain,Vegan Buddha Bowl
lunch,medium,vegetarian,no,yes,middle_eastern,high,medium,medium,maintain,Beef Burrito
lunch,low,vegan,no,yes,asian,high,long,high,lose,Vegan Buddha Bowl
dinner,medium,vegan,yes,yes,american,low,long,low,maintain,Vegan Buddha Bowl
breakfast,high,vegetarian,no,yes,mediterranean,medium,medium,high,maintain,Spicy Chicken Bowl
lunch,high,keto,no,yes,american,medium,quick,high,lose,Keto Salmon Salad
lunch,high,keto,no,no,mexican,medium,medium,low,lose,Spicy Chicken Bowl
lunch,high,vegan,yes,yes,mexican,high,long,low,lose,Vegan Buddha Bowl
breakfast,medium,vegan,yes,yes,asian,medium,medium,low,gain,Vegan Buddha Bowl
lunch,medium,vegan,no,no,middle_eastern,medium,medium,medium,maintain,Beef Burrito
dinner,high,vegan,yes,yes,asian,medium,medium,high,lose,Spicy Chicken Bowl
lunch,low,keto,yes,yes,mediterranean,high,quick,high,lose,Keto Salmon Salad
breakfast,high,vegetarian,yes,yes,mediterranean,low,medium,medium,maintain,Margherita Pizza
breakfast,medium,keto,yes,no,mediterranean,high,quick,low,maintain,Keto Salmon Salad
lunch,medium,vegan,yes,yes,middle_eastern,low,quick,medium,lose,Vegan Buddha Bowl
breakfast,low,vegan,yes,yes,mediterranean,medium,long,low,lose,Vegan Buddha Bowl
dinner,medium,vegan,no,yes,asian,high,quick,high,lose,Vegan Buddha Bowl
breakfast,low,vegan,yes,no,mediterranean,high,long,medium,gain,Vegan Buddha Bowl
lunch,high,vegetarian,yes,yes,asian,low,quick,low,maintain,Spicy Chicken Bowl
dinner,low,vegetarian,yes,no,american,high,long,medium,maintain,Margherita Pizza
dinner,low,none,no,no,mediterranean,low,medium,medium,gain,Margherita Pizza
breakfast,medium,keto,yes,yes,asian,medium,quick,medium,gain,Keto Salmon Salad
lunch,high,keto,yes,yes,asian,low,quick,low,maintain,Spicy Chicken Bowl
dinner,high,vegan,no,no,asian,medium,medium,low,maintain,Spicy Chicken Bowl
lunch,low,vegetarian,yes,no,american,medium,medium,low,maintain,Keto Salmon Salad
snack,high,keto,no,yes,mexican,high,medium,high,maintain,Keto Salmon Salad
breakfast,low,keto,yes,no,asian,low,medium,high,gain,Keto Salmon Salad
dinner,high,vegan,yes,yes,mexican,medium,medium,high,maintain,Beef Burrito
snack,medium,vegan,no,no,asian,low,long,low,lose,Vegan Buddha Bowl
snack,low,keto,no,yes,asian,high,medium,high,lose,Keto Salmon Salad
snack,high,keto,yes,no,asian,high,long,medium,maintain,Spicy Chicken Bowl
snack,medium,vegan,yes,yes,american,low,quick,high,gain,Vegan Buddha Bowl
breakfast,high,keto,yes,no,mexican,low,long,high,lose,Keto Salmon Salad
breakfast,high,keto,no,no,asian,medium,medium,high,maintain,Spicy Chicken Bowl
dinner,high,vegetarian,no,no,middle_eastern,medium,medium,high,maintain,Spicy Chicken Bowl
snack,low,keto,no,yes,mediterranean,low,long,medium,lose,Vegan Buddha Bowl
lunch,low,none,yes,yes,american,medium,medium,medium,lose,Beef Burrito
lunch,medium,none,no,yes,middle_eastern,high,medium,low,lose,Vegan Buddha Bowl
snack,high,vegetarian,no,yes,middle_eastern,low,quick,high,maintain,Spicy Chicken Bowl
breakfast,low,vegan,no,no,asian,high,medium,high,gain,Vegan Buddha Bowl
snack,high,keto,yes,no,asian,medium,medium,medium,maintain,Spicy Chicken Bowl
dinner,high,vegetarian,no,no,mediterranean,low,quick,high,maintain,Margherita Pizza
lunch,medium,vegetarian,yes,no,mediterranean,low,long,low,gain,Margherita Pizza
lunch,low,none,no,no,middle_eastern,high,long,high,gain,Spicy Chicken Bowl
dinner,low,none,yes,yes,american,high,medium,high,lose,Keto Salmon Salad
lunch,medium,vegan,yes,yes,middle_eastern,low,medium,low,maintain,Vegan Buddha Bowl
dinner,high,vegetarian,yes,no,middle_eastern,high,medium,low,gain,Margherita Pizza
breakfast,high,vegetarian,yes,no,middle_eastern,low,long,high,maintain,Margherita Pizza
snack,low,vegan,yes,no,american,low,medium,medium,lose,Vegan Buddha Bowl
dinner,medium,none,no,no,asian,low,quick,high,maintain,Margherita Pizza
breakfast,low,vegan,no,yes,mexican,low,quick,high,gain,Beef Burrito
snack,high,none,yes,no,asian,medium,long,high,lose,Spicy Chicken Bowl
breakfast,low,vegetarian,yes,no,mexican,high,long,high,gain,Beef Burrito
breakfast,high,vegetarian,yes,no,american,medium,long,medium,lose,Keto Salmon Salad
dinner,high,none,no,no,american,medium,long,low,maintain,Spicy Chicken Bowl
snack,low,vegan,no,yes,american,low,quick,medium,gain,Vegan Buddha Bowl
dinner,high,vegan,no,no,middle_eastern,low,medium,low,lose,Vegan Buddha Bowl
lunch,medium,none,yes,no,middle_eastern,high,medium,low,gain,Margherita Pizza
dinner,low,keto,yes,yes,mexican,medium,medium,low,lose,Keto Salmon Salad
dinner,high,vegetarian,yes,no,mexican,medium,medium,high,lose,Beef Burrito
lunch,low,none,yes,no,middle_eastern,high,quick,medium,gain,Margherita Pizza
breakfast,high,none,no,no,american,low,quick,low,maintain,Margherita Pizza
snack,low,keto,no,no,asian,low,medium,low,maintain,Keto Salmon Salad
dinner,high,none,yes,no,mexican,medium,quick,high,lose,Beef Burrito
breakfast,high,vegan,no,yes,mexican,low,medium,high,lose,Beef Burrito
snack,low,vegetarian,no,yes,middle_eastern,high,long,high,gain,Margherita Pizza
lunch,medium,vegetarian,no,yes,asian,medium,quick,high,lose,Beef Burrito
lunch,high,none,no,yes,mediterranean,high,long,low,gain,Spicy Chicken Bowl
dinner,low,vegetarian,yes,yes,mexican,medium,medium,medium,lose,Beef Burrito
snack,high,none,yes,no,mexican,medium,long,medium,maintain,Beef Burrito
dinner,low,keto,no,yes,asian,high,medium,medium,gain,Keto Salmon Salad
dinner,high,keto,yes,yes,mexican,medium,long,high,maintain,Spicy Chicken Bowl
snack,low,none,no,no,mediterranean,medium,medium,medium,gain,Margherita Pizza
breakfast,medium,vegetarian,yes,no,asian,low,quick,medium,lose,Margherita Pizza
dinner,high,none,yes,yes,asian,medium,medium,medium,gain,Spicy Chicken Bowl
lunch,low,vegan,no,no,american,medium,quick,medium,lose,Vegan Buddha Bowl
breakfast,high,vegetarian,yes,yes,asian,low,medium,high,lose,Spicy Chicken Bowl
dinner,low,vegetarian,no,yes,mexican,medium,quick,medium,gain,Beef Burrito
dinner,high,keto,yes,yes,mexican,high,quick,low,maintain,Keto Salmon Salad
lunch,low,vegetarian,no,no,mexican,high,medium,low,maintain,Beef Burrito
breakfast,low,keto,no,no,asian,medium,long,high,maintain,Keto Salmon Salad
snack,medium,vegetarian,yes,yes,american,medium,quick,medium,gain,Margherita Pizza
snack,low,none,yes,no,american,high,quick,medium,lose,Margherita Pizza
snack,medium,keto,yes,yes,asian,medium,long,high,gain,Keto Salmon Salad
snack,high,none,yes,yes,asian,high,quick,low,lose,Spicy Chicken Bowl
breakfast,high,none,yes,yes,mexican,low,long,low,lose,Spicy Chicken Bowl
dinner,high,vegetarian,yes,yes,mediterranean,low,long,low,gain,Margherita Pizza
snack,medium,vegan,no,no,asian,low,quick,high,lose,Margherita Pizza
breakfast,medium,keto,yes,no,asian,high,long,low,maintain,Keto Salmon Salad
dinner,high,vegan,yes,yes,mediterranean,high,long,medium,gain,Vegan Buddha Bowl
dinner,low,keto,no,yes,asian,low,medium,medium,maintain,Beef Burrito
dinner,high,keto,yes,no,asian,medium,quick,high,gain,Spicy Chicken Bowl
breakfast,high,keto,yes,no,mediterranean,low,quick,medium,maintain,Keto Salmon Salad
breakfast,high,vegetarian,yes,yes,middle_eastern,medium,medium,medium,gain,Beef Burrito
dinner,high,vegan,no,yes,mediterranean,high,medium,medium,maintain,Vegan Buddha Bowl
dinner,medium,keto,yes,no,mediterranean,high,medium,low,lose,Keto Salmon Salad
snack,low,vegetarian,yes,no,mexican,low,long,high,lose,Beef Burrito
breakfast,high,none,no,no,american,medium,quick,medium,lose,Margherita Pizza
lunch,high,keto,no,yes,mexican,high,medium,high,gain,Beef Burrito
lunch,high,vegan,no,no,american,high,medium,high,maintain,Spicy Chicken Bowl
lunch,low,none,yes,no,mediterranean,high,medium,low,lose,Vegan Buddha Bowl
dinner,medium,keto,no,yes,mediterranean,low,quick,low,lose,Margherita Pizza
lunch,medium,keto,no,yes,mediterranean,low,medium,low,gain,Keto Salmon Salad
breakfast,high,keto,yes,yes,asian,high,quick,high,gain,Keto Salmon Salad
breakfast,low,none,no,no,asian,low,long,high,maintain,Margherita Pizza
dinner,low,vegan,no,no,asian,medium,quick,medium,lose,Vegan Buddha Bowl
breakfast,medium,vegan,yes,yes,mediterranean,medium,medium,high,maintain,Vegan Buddha Bowl
dinner,high,keto,no,no,asian,low,long,medium,gain,Spicy Chicken Bowl
lunch,high,keto,no,no,asian,medium,medium,low,gain,Spicy Chicken Bowl
breakfast,high,vegan,no,yes,mediterranean,medium,quick,medium,gain,Vegan Buddha Bowl
breakfast,low,vegetarian,no,no,mediterranean,high,quick,low,lose,Margherita Pizza
breakfast,high,none,no,no,american,high,medium,medium,lose,Spicy Chicken Bowl
breakfast,high,vegan,yes,no,mexican,high,long,medium,lose,Beef Burrito
dinner,medium,vegetarian,yes,no,middle_eastern,high,medium,medium,maintain,Keto Salmon Salad
snack,high,vegetarian,yes,no,asian,medium,quick,high,gain,Spicy Chicken Bowl
dinner,low,vegetarian,no,yes,mexican,high,quick,high,lose,Beef Burrito
lunch,high,vegetarian,no,no,mediterranean,medium,quick,low,maintain,Margherita Pizza
dinner,medium,keto,yes,yes,middle_eastern,high,long,high,gain,Keto Salmon Salad
lunch,high,vegan,yes,no,mediterranean,high,medium,low,maintain,Vegan Buddha Bowl
lunch,medium,vegetarian,no,no,asian,medium,quick,high,maintain,Spicy Chicken Bowl
breakfast,high,vegan,yes,no,mexican,low,medium,medium,lose,Vegan Buddha Bowl
breakfast,low,keto,yes,yes,asian,low,medium,medium,maintain,Keto Salmon Salad
snack,high,none,yes,no,mediterranean,medium,long,medium,gain,Margherita Pizza
lunch,high,vegetarian,yes,yes,mexican,high,quick,medium,gain,Beef Burrito
dinner,high,none,no,no,american,low,medium,low,lose,Spicy Chicken Bowl
breakfast,high,keto,yes,yes,mediterranean,low,long,low,gain,Keto Salmon Salad
dinner,low,vegetarian,no,yes,american,low,long,high,maintain,Margherita Pizza
dinner,high,keto,no,yes,middle_eastern,medium,long,low,maintain,Spicy Chicken Bowl
snack,high,none,yes,yes,mexican,high,long,high,gain,Spicy Chicken Bowl
dinner,low,vegetarian,no,yes,mediterranean,low,medium,medium,gain,Beef Burrito
lunch,medium,keto,yes,yes,asian,medium,quick,high,lose,Keto Salmon Salad
dinner,medium,none,no,yes,middle_eastern,high,long,medium,gain,Beef Burrito
snack,low,keto,no,yes,mexican,medium,quick,medium,gain,Beef Burrito
lunch,low,vegan,no,yes,mediterranean,medium,quick,high,maintain,Vegan Buddha Bowl
breakfast,high,vegetarian,no,yes,mexican,high,quick,low,maintain,Beef Burrito
breakfast,medium,vegetarian,no,no,mediterranean,medium,quick,medium,maintain,Margherita Pizza
dinner,high,keto,no,yes,mexican,low,medium,low,gain,Beef Burrito
dinner,medium,none,no,no,asian,low,quick,medium,lose,Margherita Pizza
dinner,high,none,yes,no,mexican,medium,long,low,lose,Spicy Chicken Bowl
snack,high,vegetarian,no,yes,asian,medium,quick,low,maintain,Spicy Chicken Bowl
breakfast,low,keto,yes,no,asian,medium,quick,high,lose,Keto Salmon Salad
lunch,medium,keto,no,yes,mexican,medium,quick,high,gain,Beef Burrito
snack,high,none,yes,yes,asian,high,long,medium,lose,Spicy Chicken Bowl
lunch,medium,vegetarian,no,yes,mexican,medium,medium,low,maintain,Beef Burrito
lunch,medium,vegetarian,yes,yes,middle_eastern,high,quick,high,maintain,Beef Burrito
dinner,low,vegan,no,no,asian,medium,medium,low,gain,Vegan Buddha Bowl
lunch,high,keto,no,yes,mediterranean,medium,medium,medium,gain,Beef Burrito
lunch,high,keto,yes,no,mexican,medium,quick,high,gain,Keto Salmon Salad
dinner,medium,vegetarian,no,no,middle_eastern,high,quick,medium,gain,Margherita Pizza
breakfast,high,vegan,no,yes,mexican,high,quick,low,gain,Vegan Buddha Bowl
snack,medium,keto,yes,no,mediterranean,high,medium,high,gain,Keto Salmon Salad
breakfast,high,keto,no,yes,middle_eastern,low,medium,medium,lose,Keto Salmon Salad
dinner,low,vegetarian,no,no,mexican,high,quick,medium,gain,Margherita Pizza
dinner,high,keto,yes,yes,asian,low,long,high,lose,Spicy Chicken Bowl
lunch,medium,vegan,yes,no,asian,medium,quick,low,gain,Vegan Buddha Bowl
lunch,high,none,no,no,mediterranean,medium,quick,medium,lose,Margherita Pizza
breakfast,medium,keto,yes,yes,middle_eastern,low,quick,medium,lose,Keto Salmon Salad
lunch,low,vegan,yes,no,asian,low,long,high,lose,Spicy Chicken Bowl
lunch,high,vegetarian,no,yes,american,low,quick,low,maintain,Margherita Pizza
snack,high,vegan,no,no,mexican,low,long,low,gain,Beef Burrito
breakfast,medium,vegan,yes,yes,mediterranean,high,quick,medium,maintain,Vegan Buddha Bowl
lunch,medium,vegan,no,no,mexican,low,long,high,lose,Beef Burrito
breakfast,low,keto,yes,yes,american,high,long,high,maintain,Keto Salmon Salad
lunch,low,vegetarian,yes,no,american,low,quick,low,maintain,Margherita Pizza
snack,medium,none,no,no,middle_eastern,high,long,high,gain,Margherita Pizza
breakfast,medium,none,yes,yes,mexican,high,medium,medium,lose,Beef Burrito
dinner,high,vegetarian,no,yes,mediterranean,low,long,high,maintain,Spicy Chicken Bowl
breakfast,low,keto,no,yes,middle_eastern,medium,medium,medium,lose,Vegan Buddha Bowl
snack,low,keto,yes,no,asian,high,quick,medium,maintain,Keto Salmon Salad
lunch,medium,vegetarian,no,no,mediterranean,low,long,medium,lose,Beef Burrito
dinner,high,none,no,yes,asian,medium,medium,high,lose,Spicy Chicken Bowl
dinner,medium,vegetarian,no,yes,asian,high,long,medium,maintain,Beef Burrito
lunch,low,none,yes,no,american,low,medium,medium,maintain,Margherita Pizza
snack,low,keto,no,yes,american,low,quick,low,gain,Keto Salmon Salad
dinner,medium,vegetarian,yes,no,middle_eastern,low,quick,medium,maintain,Margherita Pizza
lunch,medium,keto,no,no,middle_eastern,medium,quick,high,maintain,Keto Salmon Salad
snack,medium,keto,no,no,middle_eastern,high,quick,low,lose,Keto Salmon Salad
lunch,low,vegetarian,no,no,asian,low,medium,medium,gain,Margherita Pizza
dinner,low,none,yes,no,asian,low,medium,high,gain,Margherita Pizza
lunch,low,none,no,no,asian,low,long,low,gain,Margherita Pizza
snack,low,vegetarian,yes,no,mediterranean,low,quick,medium,lose,Margherita Pizza
dinner,low,vegan,yes,yes,asian,high,medium,medium,gain,Vegan Buddha Bowl
lunch,high,vegetarian,no,no,asian,high,medium,high,gain,Spicy Chicken Bowl
lunch,medium,keto,yes,no,asian,low,medium,high,lose,Keto Salmon Salad
dinner,medium,keto,yes,yes,middle_eastern,low,medium,low,gain,Keto Salmon Salad
snack,high,vegetarian,no,yes,asian,medium,long,low,lose,Spicy Chicken Bowl
dinner,high,vegan,yes,no,american,medium,medium,high,lose,Vegan Buddha Bowl
lunch,low,vegetarian,no,no,mexican,high,medium,medium,gain,Beef Burrito
breakfast,low,none,yes,yes,middle_eastern,medium,medium,medium,gain,Vegan Buddha Bowl
lunch,low,vegan,yes,yes,middle_eastern,medium,long,medium,maintain,Vegan Buddha Bowl
dinner,high,none,no,no,middle_eastern,high,long,high,maintain,Spicy Chicken Bowl
breakfast,high,vegetarian,no,no,asian,medium,medium,medium,maintain,Spicy Chicken Bowl
breakfast,medium,keto,no,yes,american,medium,medium,medium,lose,Keto Salmon Salad
breakfast,medium,none,no,yes,middle_eastern,low,medium,high,gain,Margherita Pizza
dinner,high,vegan,no,no,middle_eastern,low,quick,high,maintain,Beef Burrito
lunch,low,vegan,yes,no,middle_eastern,medium,medium,low,lose,Vegan Buddha Bowl
breakfast,high,vegetarian,no,yes,middle_eastern,medium,quick,low,maintain,Margherita Pizza
dinner,high,keto,no,yes,mexican,medium,long,high,maintain,Beef Burrito
lunch,low,keto,no,no,american,low,long,medium,lose,Keto Salmon Salad
dinner,high,none,yes,yes,mediterranean,high,long,medium,lose,Vegan Buddha Bowl
breakfast,low,none,no,yes,middle_eastern,high,quick,high,maintain,Keto Salmon Salad
snack,high,vegetarian,no,no,mexican,medium,quick,high,lose,Beef Burrito
breakfast,medium,none,no,no,middle_eastern,medium,medium,high,gain,Margherita Pizza
breakfast,medium,vegan,no,no,mediterranean,medium,quick,low,lose,Vegan Buddha Bowl
breakfast,low,keto,no,yes,american,medium,medium,low,lose,Keto Salmon Salad
dinner,medium,keto,no,yes,american,low,quick,high,lose,Keto Salmon Salad
breakfast,low,vegan,yes,yes,american,high,quick,low,lose,Vegan Buddha Bowl
lunch,low,vegan,yes,yes,american,medium,quick,medium,maintain,Vegan Buddha Bowl
breakfast,low,vegetarian,no,yes,asian,high,quick,low,lose,Margherita Pizza
lunch,low,vegan,no,yes,asian,medium,quick,medium,gain,Vegan Buddha Bowl
lunch,low,vegan,no,yes,mexican,high,medium,high,maintain,Beef Burrito
breakfast,medium,keto,no,no,middle_eastern,low,long,low,gain,Margherita Pizza
breakfast,medium,keto,yes,yes,mexican,high,quick,medium,gain,Keto Salmon Salad
dinner,medium,keto,no,no,asian,high,long,medium,lose,Keto Salmon Salad
lunch,low,vegetarian,no,no,mediterranean,low,long,low,maintain,Margherita Pizza
lunch,medium,keto,no,yes,mexican,low,long,low,gain,Beef Burrito
snack,high,none,no,no,mexican,low,medium,medium,gain,Beef Burrito
snack,high,none,no,no,american,low,medium,medium,maintain,Margherita Pizza
snack,high,none,no,no,asian,medium,quick,high,gain,Margherita Pizza
dinner,medium,none,no,yes,asian,low,long,low,lose,Vegan Buddha Bowl
breakfast,medium,keto,yes,yes,middle_eastern,medium,medium,high,maintain,Keto Salmon Salad
snack,high,keto,yes,yes,american,high,quick,low,lose,Keto Salmon Salad
dinner,low,vegetarian,yes,yes,mexican,low,medium,high,maintain,Beef Burrito
breakfast,high,vegetarian,yes,no,asian,medium,medium,high,maintain,Spicy Chicken Bowl
dinner,high,keto,no,yes,middle_eastern,medium,medium,high,lose,Keto Salmon Salad
lunch,medium,none,yes,yes,asian,high,long,high,gain,Spicy Chicken Bowl
breakfast,high,vegan,no,yes,asian,medium,long,high,gain,Spicy Chicken Bowl
snack,low,keto,yes,yes,middle_eastern,medium,medium,high,lose,Keto Salmon Salad
lunch,low,vegan,no,no,mediterranean,low,quick,high,lose,Vegan Buddha Bowl
dinner,high,vegetarian,yes,yes,mediterranean,high,medium,low,gain,Spicy Chicken Bowl
lunch,low,keto,yes,yes,mexican,low,quick,high,lose,Keto Salmon Salad
dinner,high,keto,no,yes,mediterranean,high,long,medium,gain,Spicy Chicken Bowl
dinner,low,vegan,yes,yes,american,low,long,medium,gain,Vegan Buddha Bowl
snack,low,vegetarian,no,no,mexican,low,quick,high,maintain,Margherita Pizza
dinner,high,keto,no,yes,mexican,medium,quick,medium,gain,Beef Burrito
lunch,high,none,yes,no,asian,high,quick,low,gain,Spicy Chicken Bowl
snack,high,vegetarian,yes,no,middle_eastern,high,long,medium,lose,Margherita Pizza
snack,low,none,no,no,american,medium,medium,high,maintain,Keto Salmon Salad
dinner,low,vegetarian,yes,no,american,low,long,high,lose,Keto Salmon Salad
lunch,medium,vegetarian,no,yes,middle_eastern,high,quick,low,maintain,Margherita Pizza
snack,medium,vegan,yes,no,middle_eastern,low,long,low,lose,Vegan Buddha Bowl
dinner,high,vegan,no,yes,asian,low,medium,low,maintain,Spicy Chicken Bowl
dinner,high,keto,yes,yes,mediterranean,medium,long,low,lose,Spicy Chicken Bowl
snack,medium,none,yes,yes,mexican,high,quick,low,lose,Beef Burrito
lunch,medium,vegan,yes,no,middle_eastern,high,medium,medium,maintain,Vegan Buddha Bowl
dinner,high,keto,yes,yes,asian,high,medium,high,lose,Keto Salmon Salad
lunch,low,vegetarian,yes,no,middle_eastern,high,medium,low,lose,Margherita Pizza
snack,medium,none,no,no,american,medium,long,medium,gain,Beef Burrito
breakfast,high,keto,no,yes,mexican,medium,medium,medium,gain,Beef Burrito
dinner,medium,vegan,no,yes,mediterranean,low,quick,low,maintain,Vegan Buddha Bowl
dinner,low,vegetarian,yes,yes,american,high,quick,high,gain,Keto Salmon Salad
dinner,medium,keto,yes,no,asian,low,long,low,gain,Spicy Chicken Bowl
breakfast,high,keto,yes,yes,asian,low,quick,high,gain,Spicy Chicken Bowl
lunch,high,keto,yes,no,mediterranean,medium,medium,medium,lose,Keto Salmon Salad
breakfast,medium,none,no,yes,middle_eastern,medium,long,medium,lose,Vegan Buddha Bowl
lunch,high,vegan,yes,no,american,low,medium,high,gain,Spicy Chicken Bowl
breakfast,low,vegan,yes,yes,middle_eastern,high,medium,high,gain,Vegan Buddha Bowl
snack,medium,vegetarian,yes,yes,asian,low,medium,medium,lose,Vegan Buddha Bowl
lunch,high,keto,no,yes,mediterranean,medium,medium,low,lose,Spicy Chicken Bowl
dinner,high,keto,no,no,asian,high,quick,high,gain,Spicy Chicken Bowl
lunch,medium,none,no,no,middle_eastern,high,medium,low,maintain,Margherita Pizza
snack,high,keto,yes,yes,mediterranean,low,medium,high,lose,Keto Salmon Salad
lunch,low,vegan,no,yes,mexican,low,medium,low,lose,Vegan Buddha Bowl
snack,medium,none,no,yes,mediterranean,medium,long,low,lose,Beef Burrito
lunch,low,vegetarian,no,yes,mediterranean,medium,quick,high,lose,Margherita Pizza
lunch,medium,vegan,no,no,middle_eastern,high,long,low,lose,Vegan Buddha Bowl
dinner,medium,none,no,yes,mexican,low,medium,medium,gain,Beef Burrito
dinner,high,vegan,yes,no,american,high,medium,medium,gain,Vegan Buddha Bowl
breakfast,low,keto,no,no,american,low,quick,low,lose,Keto Salmon Salad
snack,medium,none,yes,yes,mexican,low,long,low,gain,Beef Burrito
snack,high,vegan,no,yes,american,high,quick,medium,gain,Vegan Buddha Bowl
dinner,low,vegan,no,no,mediterranean,medium,quick,medium,gain,Vegan Buddha Bowl
snack,medium,vegetarian,no,no,mexican,low,medium,medium,maintain,Beef Burrito
lunch,high,keto,no,yes,middle_eastern,high,quick,low,maintain,Spicy Chicken Bowl
lunch,low,keto,no,no,american,low,quick,high,lose,Keto Salmon Salad
snack,high,vegan,no,yes,mexican,medium,medium,high,gain,Beef Burrito
